2026-05-11 21:22:17 | INFO     | trainer              | ============================================================
2026-05-11 21:22:17 | INFO     | trainer              | Saving reference predictions (drift monitoring baseline)
2026-05-11 21:22:17 | INFO     | trainer              | ============================================================
2026-05-11 21:22:17 | INFO     | trainer              |   val_reference_predictions.parquet saved -> C:\Users\sharg\Desktop\github\DriftSentinel\outputs\models\val_reference_predictions.parquet
2026-05-11 21:22:17 | INFO     | trainer              |   LGBM   mean proba on val: 0.5648
2026-05-11 21:22:17 | INFO     | trainer              |   LogReg mean proba on val: 0.5325
2026-05-11 21:22:17 | INFO     | trainer              |   training_summary.json saved -> C:\Users\sharg\Desktop\github\DriftSentinel\outputs\models\training_summary.json
2026-05-11 21:22:17 | INFO     | trainer              | ======================================================================
2026-05-11 21:22:17 | INFO     | trainer              | Trainer complete
2026-05-11 21:22:17 | INFO     | trainer              |   LGBM   val AUC : 0.6865
2026-05-11 21:22:17 | INFO     | trainer              |   LogReg val AUC : 0.6451
2026-05-11 21:22:17 | INFO     | trainer              |   Primary model  : lgbm_v1
2026-05-11 21:22:17 | INFO     | trainer              |   Next: evaluator.py -> drift detection pipeline
2026-05-11 21:22:17 | INFO     | trainer              | ======================================================================
