2026-08-04 19:58:21 | INFO     | fairness_audit       |   Asian                   209  0.0909        —        —        —  INSUFFICIENT_EVIDENCE
2026-08-04 19:58:21 | INFO     | fairness_audit       |   Caucasian             13394  0.0900   0.6478   0.2033   0.0892  OK
2026-08-04 19:58:21 | INFO     | fairness_audit       |   Hispanic                496  0.0645        —        —        —  INSUFFICIENT_EVIDENCE
2026-08-04 19:58:21 | INFO     | fairness_audit       |   Missing                 600  0.0650   0.5849   0.1538   0.1000  OK
2026-08-04 19:58:21 | INFO     | fairness_audit       |   Other                   445  0.0854        —        —        —  INSUFFICIENT_EVIDENCE
2026-08-04 19:58:21 | INFO     | fairness_audit       |     gap[auc] +0.0629 (Missing -> Caucasian) supported=False
2026-08-04 19:58:21 | INFO     | fairness_audit       |     gap[recall] +0.0495 (Missing -> Caucasian) supported=False
2026-08-04 19:58:21 | INFO     | fairness_audit       |     gap[predicted_positive_rate] +0.0198 (AfricanAmerican -> Missing) supported=False
2026-08-04 19:58:21 | INFO     | fairness_audit       |     gap[precision] +0.1050 (Missing -> Caucasian) supported=False
2026-08-04 19:58:21 | INFO     | fairness_audit       |     gap[ece] +0.0272 (Caucasian -> Missing) supported=True
2026-08-04 19:58:34 | INFO     | fairness_audit       | --------------------------------------------------------------
2026-08-04 19:58:34 | INFO     | fairness_audit       | ATTRIBUTE: gender
2026-08-04 19:58:34 | INFO     | fairness_audit       |   level                     n    prev      AUC   recall      PPR  status
2026-08-04 19:58:34 | INFO     | fairness_audit       |   Female                 9044  0.0882   0.6454   0.1967   0.0911  OK
2026-08-04 19:58:34 | INFO     | fairness_audit       |   Male                   8280  0.0880   0.6363   0.1948   0.0836  OK
2026-08-04 19:58:34 | INFO     | fairness_audit       |   Unknown/Invalid           1  0.0000        —        —        —  INSUFFICIENT_EVIDENCE
2026-08-04 19:58:34 | INFO     | fairness_audit       |     gap[auc] +0.0091 (Male -> Female) supported=False
2026-08-04 19:58:34 | INFO     | fairness_audit       |     gap[recall] +0.0019 (Male -> Female) supported=False
2026-08-04 19:58:34 | INFO     | fairness_audit       |     gap[predicted_positive_rate] +0.0075 (Male -> Female) supported=False
2026-08-04 19:58:34 | INFO     | fairness_audit       |     gap[precision] +0.0147 (Female -> Male) supported=False
2026-08-04 19:58:34 | INFO     | fairness_audit       |     gap[ece] +0.0025 (Male -> Female) supported=False
2026-08-04 19:58:57 | INFO     | fairness_audit       | --------------------------------------------------------------
